学校名,偏差値,H(I|M),H(I|G),,,,,,,,,,,,,
日比谷,71,0.998248805,0.99841745,,,,,,,,,,,,,
三田,63,0.998367033,0.998417624,,,,,,,,,,,,,
戸山,70,0.998410599,0.998418238,,,,,,,,,,,,,
竹早,66,0.998389332,0.998417821,,,,,,,,,,,,,
向丘,53,0.998424659,0.998418238,,,,,,,,,,,,,
上野,59,0.998413246,0.998418238,,,,,,,,,,,,,
日本橋,43,0.99841324,0.998417479,,,,,,,,,,,,,
本所,51,0.998422672,0.998417872,,,,,,,,,,,,,
城東,60,0.998426165,0.998418238,,,,,,,,,,,,,
東,51,0.998418555,0.998417872,,,,,,,,,,,,,
深川,56,0.998422602,0.998417248,,,,,,,,,,,,,
大崎,45,0.998352835,0.998417872,,,,,,,,,,,,,
小山台,68,0.998422311,0.998418238,,,,,,,,,,,,,
駒場,67,0.998425287,0.998418238,,,,,,,,,,,,,
目黒,57,0.998374474,0.998417493,,,,,,,,,,,,,
蒲田,35,0.998383822,0.998416661,,,,,,,,,,,,,
田園調布,54,0.998421927,0.998417507,,,,,,,,,,,,,
雪谷,55,0.998375052,0.998417872,,,,,,,,,,,,,
桜町,49,0.998404361,0.998418238,,,,,,,,,,,,,
千歳丘,42,0.998422097,0.998417872,,,,,,,,,,,,,
松原,47,0.998406791,0.998418268,,,,,,,,,,,,,
青山,70,0.998424403,0.998417872,,,,,,,,,,,,,
広尾,55,0.998417052,0.998417757,,,,,,,,,,,,,
鷺宮,50,0.99834026,0.998417872,,,,,,,,,,,,,
武蔵丘,54,0.998424367,0.99841745,,,,,,,,,,,,,
杉並,53,0.998327138,0.99841745,,,,,,,,,,,,,
豊多摩,61,0.998407145,0.998418238,,,,,,,,,,,,,
西,71,0.998432032,0.998418238,,,,,,,,,,,,,
豊島,55,0.998418935,0.998418238,,,,,,,,,,,,,
文京,58,0.998426962,0.998417832,,,,,,,,,,,,,
竹台,46,0.99837952,0.998418048,,,,,,,,,,,,,
板橋,43,0.998420028,0.99841745,,,,,,,,,,,,,
北園,62,0.998425687,0.99841745,,,,,,,,,,,,,
高島,50,0.99832431,0.998418238,,,,,,,,,,,,,
井草,57,0.998403127,0.99841745,,,,,,,,,,,,,
石神井,55,0.998406775,0.998418238,,,,,,,,,,,,,
練馬,42,0.998422097,0.998417493,,,,,,,,,,,,,
足立,45,0.998418938,0.998417872,,,,,,,,,,,,,
足立西,44,0.998420471,0.998417007,,,,,,,,,,,,,
足立東,36,0.998337824,0.998418146,,,,,,,,,,,,,
江北,52,0.998385287,0.998418238,,,,,,,,,,,,,
葛飾野,45,0.998384483,0.99841745,,,,,,,,,,,,,
南葛飾,40,0.998399218,0.998417178,,,,,,,,,,,,,
江戸川,56,0.998425199,0.998417011,,,,,,,,,,,,,
小岩,49,0.998424835,0.998417832,,,,,,,,,,,,,
小松川,64,0.998408396,0.99841745,,,,,,,,,,,,,
篠崎,42,0.998413571,0.998418686,,,,,,,,,,,,,
紅葉川,46,0.998417011,0.998417872,,,,,,,,,,,,,
片倉,47,0.998408836,0.998417493,,,,,,,,,,,,,
八王子北,44,0.998404167,0.998417093,,,,,,,,,,,,,
八王子東,69,0.998406513,0.998418238,,,,,,,,,,,,,
富士森,52,0.998314783,0.998416843,,,,,,,,,,,,,
松が谷,50,0.998418874,0.998417872,,,,,,,,,,,,,
立川,70,0.998423729,0.998417872,,,,,,,,,,,,,
武蔵野北,64,0.998408557,0.998417493,,,,,,,,,,,,,
府中,52,0.998416649,0.998417872,,,,,,,,,,,,,
府中西,48,0.998421954,0.998416697,,,,,,,,,,,,,
府中東,45,0.9984201,0.998417781,,,,,,,,,,,,,
昭和,59,0.998409939,0.998418238,,,,,,,,,,,,,
神代,57,0.998411539,0.998418238,,,,,,,,,,,,,
調布北,61,0.998420527,0.998418268,,,,,,,,,,,,,
調布南,56,0.998359774,0.998417493,,,,,,,,,,,,,
小川,48,0.998424481,0.998418238,,,,,,,,,,,,,
成瀬,54,0.998405236,0.998417872,,,,,,,,,,,,,
町田,64,0.998423769,0.99841745,,,,,,,,,,,,,
小金井北,63,0.998413128,0.998417493,,,,,,,,,,,,,
小平,58,0.998419758,0.99841791,,,,,,,,,,,,,
小平西,44,0.998390603,0.998418686,,,,,,,,,,,,,
小平南,55,0.998421236,0.998417872,,,,,,,,,,,,,
日野,52,0.998379499,0.998417011,,,,,,,,,,,,,
日野台,63,0.998390064,0.998417859,,,,,,,,,,,,,
南平,60,0.998424931,0.99841745,,,,,,,,,,,,,
東村山,41,0.998392043,0.998418004,,,,,,,,,,,,,
国立,73,0.998418703,0.998418238,,,,,,,,,,,,,
福生,46,0.998422566,0.998417872,,,,,,,,,,,,,
狛江,59,0.998373673,0.99841745,,,,,,,,,,,,,
東大和,51,0.99837413,0.998417872,,,,,,,,,,,,,
東大和南,55,0.998275959,0.998417872,,,,,,,,,,,,,
清瀬,56,0.99842146,0.998418238,,,,,,,,,,,,,
久留米西,45,0.998379109,0.998418268,,,,,,,,,,,,,
永山,42,0.998415868,0.998412249,,,,,,,,,,,,,
田無,47,0.998390867,0.998418238,,,,,,,,,,,,,
保谷,51,0.998315312,0.99841745,,,,,,,,,,,,,
